"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.194657191E0,-4.031288624E-2,7.712483406E-3,2.051162720E-2,4.588396286E-2
1.199649847E0,-5.187017471E-2,7.569551468E-3,1.320934296E-2,5.405830070E-2
1.204733753E0,-6.095590070E-2,5.023825169E-2,2.972602844E-2,8.439869981E-2
1.209726410E0,3.518713638E-3,4.266560078E-2,8.173847198E-2,9.227086560E-2
1.214719066E0,4.623012245E-2,-2.185690403E-2,7.155418396E-2,8.794856291E-2
1.219711826E0,6.974203140E-2,-4.535496235E-2,-1.218223572E-2,8.407990497E-2
1.224704483E0,5.742155761E-2,-4.020196199E-2,-5.008792877E-2,8.615238612E-2
1.229697139E0,8.077531308E-2,-5.187457800E-2,-1.138181686E-1,1.488966036E-1
1.234615628E0,4.464595392E-2,-3.954082727E-2,-5.823040009E-2,8.335177093E-2
1.239608337E0,-3.112060484E-3,-5.981087685E-3,-3.161621094E-2,3.232712676E-2
1.244600993E0,-3.057154361E-3,5.919098854E-3,8.267211914E-2,8.294010614E-2
1.249593701E0,-2.903487068E-3,1.291781664E-2,1.484937668E-1,1.490828595E-1
1.254586358E0,5.416258425E-2,1.515829563E-2,1.068696976E-1,1.207662690E-1
1.259579066E0,8.699773997E-2,-1.107496023E-2,3.471565247E-2,9.432093103E-2
1.264538649E0,6.507464498E-2,-1.818740368E-2,-6.060028076E-2,9.076279580E-2
1.269531305E0,6.218919903E-2,-4.176717997E-2,-7.909774780E-2,1.089424045E-1
1.274523962E0,6.877863407E-2,3.219515085E-2,1.183032990E-2,7.685691217E-2
1.279516670E0,6.808730960E-2,1.294654608E-2,2.836227417E-2,7.488600256E-2
1.284509378E0,1.008132175E-1,1.518678665E-2,2.099704742E-2,1.040904381E-1
1.289502035E0,1.189618558E-1,-8.722484112E-3,4.220008850E-2,1.265260935E-1
1.294523233E0,1.653073877E-1,1.265096664E-2,6.322288513E-2,1.774365030E-1
1.299515941E0,1.757919490E-1,2.682274580E-2,2.231311798E-2,1.792209370E-1
1.304508649E0,1.270060092E-1,5.949139595E-4,-8.951377869E-2,1.553820996E-1
1.309501305E0,1.045967788E-1,2.204507589E-2,-7.926177979E-2,1.330747956E-1
1.314493962E0,1.012280285E-1,3.598463535E-2,-9.718894958E-3,1.078724463E-1
1.319486670E0,9.546049684E-2,-1.190471649E-2,6.399917603E-2,1.155435990E-1
1.324480576E0,6.139191240E-2,-7.133007050E-3,5.633449554E-2,8.362668286E-2
1.329473285E0,2.776120044E-2,3.095906973E-2,4.636478424E-2,6.228034575E-2
1.334465941E0,8.506608196E-3,1.404500008E-2,2.934741974E-2,3.362878909E-2
1.339458649E0,3.713629209E-3,1.390057802E-2,7.720947266E-3,1.632881312E-2
1.344451305E0,-1.043213159E-2,2.331101894E-2,-1.206207275E-1,1.232947399E-1
1.349444014E0,-1.268497575E-2,4.214507341E-2,-1.314907074E-1,1.386611768E-1
1.354434743E0,-7.850517519E-3,4.656887054E-2,-2.111816406E-2,5.173265103E-2
1.359427451E0,-4.591526836E-2,2.002257109E-2,1.097097397E-1,1.206040721E-1
1.364420108E0,-7.183307409E-2,-2.287989855E-2,1.491813660E-1,1.671483181E-1
1.369412816E0,-9.727152437E-2,2.969932556E-2,5.530071259E-2,1.157668701E-1
1.374405472E0,-1.224979833E-1,4.383176565E-2,-4.254817963E-2,1.368843569E-1
1.379398180E0,-1.356946528E-1,-2.307587862E-2,-8.733081818E-2,1.630098364E-1
1.384385889E0,-1.251865476E-1,-4.201769829E-2,-8.218765259E-3,1.323053543E-1
1.389378597E0,-7.680210471E-2,-2.981722355E-2,2.748107910E-2,8.684952399E-2
1.394371253E0,-8.324617147E-2,1.337170601E-3,-2.025699615E-2,8.568581553E-2
1.399363962E0,-1.418538094E-1,5.361187458E-2,-3.671455383E-2,1.560278654E-1
1.404356670E0,-1.384211332E-1,-1.570141315E-2,3.248405457E-2,1.430460006E-1
1.409349326E0,-1.183403656E-1,-3.460228443E-2,7.734584808E-2,1.455477256E-1
1.414342399E0,-1.385510713E-1,-2.489048243E-2,2.681064606E-2,1.432994983E-1
1.419335108E0,-1.015770659E-1,-8.030295372E-3,-8.030986786E-2,1.297384324E-1
1.424327764E0,-1.147974879E-1,1.581597328E-2,-5.113220215E-2,1.266614003E-1
1.429320472E0,-9.242524207E-2,-3.175133467E-2,4.194450378E-2,1.063480795E-1
1.434313128E0,-7.746868581E-2,-3.373575211E-2,4.635524750E-2,9.637586431E-2
1.439305837E0,-9.336479008E-2,-1.685327291E-2,1.745986938E-2,9.646690559E-2
1.444294951E0,-9.482736886E-2,2.131962776E-2,-5.632495880E-2,1.123354681E-1
1.449287712E0,-6.549831480E-2,3.304356337E-2,-3.447437286E-2,8.105793425E-2
1.454280316E0,-3.884391859E-2,2.086317539E-2,-1.993465424E-2,4.838917791E-2
1.459273024E0,-2.666147798E-2,-1.739799976E-2,8.731842041E-3,3.301166263E-2
1.464265733E0,-1.706212386E-2,-5.756187439E-2,-1.271629333E-2,6.136928849E-2
1.469258389E0,3.300211579E-2,4.705667496E-3,-6.249427795E-2,7.082949760E-2
1.474249066E0,2.796047553E-2,2.617275715E-2,-9.522247314E-2,1.026358651E-1
1.479241774E0,4.661021009E-2,-1.203006506E-2,-2.553653717E-2,5.449173222E-2
1.484234430E0,6.748007238E-2,-2.383494377E-2,1.077041626E-1,1.293129976E-1
1.489227139E0,6.209301203E-2,-1.658833027E-2,1.044263840E-1,1.226196743E-1
1.494219795E0,8.066016436E-2,1.197767258E-2,1.402854919E-3,8.155669658E-2
1.499212503E0,1.039810255E-1,9.474873543E-3,-3.661823273E-2,1.106468340E-1
1.504207608E0,8.181840926E-2,-1.201140881E-2,-3.631496429E-2,9.031778711E-2
1.509200316E0,1.048730239E-1,-1.916795969E-2,-1.939201355E-2,1.083596420E-1
1.514192972E0,1.229844317E-1,4.822432995E-3,-9.723663330E-3,1.234624474E-1
1.519185680E0,9.110995382E-2,-1.409542561E-2,-9.634017944E-3,9.269584138E-2
